,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
74,"Kingsbridge, Bronx",40.88168737120521,-73.90281798724604,Mon Amour Coffee & Wine,40.88500863418534,-73.90033222698838,Coffee Shop
133,"Marble Hill, Manhattan",40.87655077879964,-73.91065965862981,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop
140,"Marble Hill, Manhattan",40.87655077879964,-73.91065965862981,Starbucks,40.873754554218515,-73.90861305343668,Coffee Shop
180,"Norwood, Bronx",40.87722415599446,-73.8793907395681,Nicky's Coffee Shop,40.874932786273384,-73.87940404957489,Coffee Shop
244,"Pelham Parkway, Bronx",40.85741349808865,-73.85475564017999,Liberty Donut & Coffee Shop,40.85533922011825,-73.85533281832504,Coffee Shop
470,"West Farms, Bronx",40.83947505672653,-73.87774474910545,Prospect Coffee Shop,40.83757698149015,-73.88083923833605,Coffee Shop
630,"Throgs Neck, Bronx",40.81510925804005,-73.81635002158441,The Miles Coffee Bar,40.81946172710321,-73.81735175518574,Coffee Shop
715,"Van Nest, Bronx",40.84360847124718,-73.8662991807561,Conti's Pastry Shoppe,40.845905639607956,-73.86283608706798,Coffee Shop
748,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,La Casa Del Caffe,40.84867491944407,-73.85497310878064,Coffee Shop
809,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Starbucks,40.86063643,-73.89027008,Coffee Shop
828,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Starbucks,40.861106,-73.886148,Coffee Shop
872,"North Riverdale, Bronx",40.90854282950666,-73.90453054908927,Noni's Coffee Shop,40.90735450795435,-73.90416054486849,Coffee Shop
953,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,The Miles Coffee Bar,40.81946172710321,-73.81735175518574,Coffee Shop
971,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Bridges,40.818697,-73.817371,Coffee Shop
1082,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Caffe Café,40.62494582940274,-74.03040439118276,Coffee Shop
1178,"Bensonhurst, Brooklyn",40.61100890202044,-73.99517998380729,Caffe Romeo,40.60973171462955,-73.98976639889126,Coffee Shop
1239,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Homecoming,40.72969603048622,-73.95752484054493,Coffee Shop
1251,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Maman,40.730427,-73.958035,Coffee Shop
1256,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,odd fox,40.73267268846633,-73.95454999352046,Coffee Shop
1259,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Upright Coffee,40.72933199515132,-73.9538915154595,Coffee Shop
1272,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Café de Colombia,40.730526,-73.951822,Coffee Shop
1294,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Sweetleaf,40.734431143292184,-73.95542611092719,Coffee Shop
1373,"Brighton Beach, Brooklyn",40.57682506566604,-73.96509448785336,Starbucks,40.57784143,-73.96120404,Coffee Shop
1429,"Manhattan Terrace, Brooklyn",40.61443251335098,-73.95743840559939,Chock Full O' Nuts,40.618160387686835,-73.95874565376455,Coffee Shop
1438,"Flatbush, Brooklyn",40.63632589026677,-73.95840106533903,Coffee Mob,40.635841273905065,-73.96256072887337,Coffee Shop
1446,"Flatbush, Brooklyn",40.63632589026677,-73.95840106533903,Coffee Z,40.634682472077664,-73.96278208484142,Coffee Shop
1466,"Crown Heights, Brooklyn",40.67082917695294,-73.94329119073582,Jenny Coffe Shop #2,40.67209565087505,-73.94189529858284,Coffee Shop
1516,"Kensington, Brooklyn",40.642381958003526,-73.98042110559474,Angelica's Coffee Shop,40.64426472017663,-73.9757434356533,Coffee Shop
1543,"Windsor Terrace, Brooklyn",40.65694583575104,-73.98007340430172,DUB Pies - Windsor Terrace,40.66043997892629,-73.98028259046083,Coffee Shop
1563,"Prospect Heights, Brooklyn",40.676822262254724,-73.9648592426269,Sit & Wonder,40.67735699650139,-73.96386086940765,Coffee Shop
1602,"Prospect Heights, Brooklyn",40.676822262254724,-73.9648592426269,Gran Caffe De Martini,40.67910336932808,-73.96832032665563,Coffee Shop
1672,"Williamsburg, Brooklyn",40.70714439344251,-73.95811529220927,Konditori,40.708614,-73.957906,Coffee Shop
1673,"Williamsburg, Brooklyn",40.70714439344251,-73.95811529220927,The Flat's BK Speed Coffee,40.70730384358056,-73.95386713180666,Coffee Shop
1685,"Williamsburg, Brooklyn",40.70714439344251,-73.95811529220927,Northerly,40.710535802393785,-73.9581638123791,Coffee Shop
1709,"Bushwick, Brooklyn",40.69811611017901,-73.92525797487045,Dweebs,40.700507067885084,-73.92279516968233,Coffee Shop
1713,"Bushwick, Brooklyn",40.69811611017901,-73.92525797487045,Brooklyn Kava,40.70039841380254,-73.92551762093899,Coffee Shop
1717,"Bushwick, Brooklyn",40.69811611017901,-73.92525797487045,Lazy Suzy Cafe & Shop,40.700793,-73.923837,Coffee Shop
1720,"Bushwick, Brooklyn",40.69811611017901,-73.92525797487045,Bushwick Public House,40.69810452616295,-73.92487120915003,Coffee Shop
1754,"Bushwick, Brooklyn",40.69811611017901,-73.92525797487045,Central Cafe,40.7004089251864,-73.92929617336291,Coffee Shop
1776,"Bedford Stuyvesant, Brooklyn",40.687231607720456,-73.94178488690297,Brooklyn Kettle,40.68463612139113,-73.9446114639709,Coffee Shop
1784,"Bedford Stuyvesant, Brooklyn",40.687231607720456,-73.94178488690297,Crocus Coffee,40.68655339859347,-73.94457685574372,Coffee Shop
1812,"Brooklyn Heights, Brooklyn",40.695863722724084,-73.99378225496424,Joe Coffee,40.6986734,-73.9943579,Coffee Shop
1893,"Brooklyn Heights, Brooklyn",40.695863722724084,-73.99378225496424,Cranberry's,40.69956681883266,-73.99186720453255,Coffee Shop
1952,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Fare & Folk,40.68750463571392,-73.99781630830245,Coffee Shop
1958,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Swallow Cafe,40.69015355837622,-73.99433454375975,Coffee Shop
1977,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Espresso Me,40.69095211398312,-73.99744811084277,Coffee Shop
1982,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Salter House,40.69087819947039,-73.99630721466154,Coffee Shop
1995,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,East One Coffee Roasters,40.681128035266816,-73.99652634325895,Coffee Shop
1997,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Hungry Ghost,40.680281,-73.994678,Coffee Shop
2011,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Planted,40.680558,-73.994584,Coffee Shop
2028,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Bklyn Habit,40.67808968531469,-73.99609214717839,Coffee Shop
2041,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Velvette Brew,40.68326476849194,-73.99275423214551,Coffee Shop
2077,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,D'Amico Coffee Roasters,40.683593021952916,-73.99530657474676,Coffee Shop
2136,"Red Hook, Brooklyn",40.676253230250886,-74.0127589747356,Red Hook coffee shop,40.677904,-74.011993,Coffee Shop
2150,"Gowanus, Brooklyn",40.673931143187154,-73.99444087145339,nerd be cool.,40.67615624798502,-73.99889198473417,Coffee Shop
2173,"Gowanus, Brooklyn",40.673931143187154,-73.99444087145339,Bklyn Habit,40.67808968531469,-73.99609214717839,Coffee Shop
2211,"Fort Greene, Brooklyn",40.68852726018977,-73.97290574369092,Bittersweet,40.689587651946525,-73.97249488542947,Coffee Shop
2219,"Fort Greene, Brooklyn",40.68852726018977,-73.97290574369092,Greene Grape Annex,40.686469719865386,-73.97466975308062,Coffee Shop
2232,"Fort Greene, Brooklyn",40.68852726018977,-73.97290574369092,Hungry Ghost,40.686019848047394,-73.97355641043038,Coffee Shop
2277,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,Blue Bottle Coffee,40.67060012485774,-73.97845821487122,Coffee Shop
2289,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,Café Regular du Nord,40.67515658418125,-73.97530161274537,Coffee Shop
2306,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,Velvette Brew,40.67393232429361,-73.98228660482863,Coffee Shop
2331,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,Milk Bar,40.67545579055746,-73.97798842992185,Coffee Shop
2336,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,Hungry Ghost,40.672276,-73.977265,Coffee Shop
2455,"Bath Beach, Brooklyn",40.59951870282238,-73.99875221443519,Starbucks,40.59522682860779,-74.00001700705624,Coffee Shop
2500,"Borough Park, Brooklyn",40.633130512758015,-73.99049823044811,1982 Coffee Roasters,40.631909,-73.994964,Coffee Shop
2654,"Downtown, Brooklyn",40.69084402109802,-73.98346337431099,Devoción,40.68866033578996,-73.98360984724239,Coffee Shop
2664,"Downtown, Brooklyn",40.69084402109802,-73.98346337431099,Hungry Ghost,40.68985278051951,-73.98024666542231,Coffee Shop
2707,"Downtown, Brooklyn",40.69084402109802,-73.98346337431099,Coffee Project NY,40.687751,-73.979387,Coffee Shop
2721,"Downtown, Brooklyn",40.69084402109802,-73.98346337431099,White Noise Coffee Co.,40.68973648217195,-73.98820269257013,Coffee Shop
2749,"Boerum Hill, Brooklyn",40.685682912091444,-73.98374824115798,dot & line,40.684092354994974,-73.98367713620105,Coffee Shop
2762,"Boerum Hill, Brooklyn",40.685682912091444,-73.98374824115798,Devoción,40.68866033578996,-73.98360984724239,Coffee Shop
2781,"Boerum Hill, Brooklyn",40.685682912091444,-73.98374824115798,Coffee Project NY,40.687751,-73.979387,Coffee Shop
2819,"Boerum Hill, Brooklyn",40.685682912091444,-73.98374824115798,Hungry Ghost,40.687996968744294,-73.97880486327516,Coffee Shop
2825,"Boerum Hill, Brooklyn",40.685682912091444,-73.98374824115798,Absolute Coffee,40.68807946939255,-73.98769332950604,Coffee Shop
2885,"Ocean Hill, Brooklyn",40.678402554795355,-73.91306831787395,Daily Press Coffee,40.6784899444382,-73.91090903870442,Coffee Shop
2941,"City Line, Brooklyn",40.67856995727479,-73.86797598081334,Jassar Gourmet Deli,40.67761698488269,-73.864208353719,Coffee Shop
3022,"Georgetown, Brooklyn",40.62384524478419,-73.91607483951324,Starbucks,40.625874,-73.91746,Coffee Shop
3050,"East Williamsburg, Brooklyn",40.70849241041548,-73.93885815269195,City of Saints Coffee Roasters,40.70886064129511,-73.93602911739248,Coffee Shop
