,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
155,"Woodlawn, Bronx",40.89827261213805,-73.86731496814176,Patrizia's Of Woodlawn,40.900638399332884,-73.86772361835486,Italian Restaurant
238,"Pelham Parkway, Bronx",40.85741349808865,-73.85475564017999,Enzo's,40.854232311821725,-73.85436243306151,Italian Restaurant
249,"Pelham Parkway, Bronx",40.85741349808865,-73.85475564017999,Pasta Pasta,40.85478806485715,-73.85492881053774,Italian Restaurant
258,"City Island, Bronx",40.84724670491813,-73.78648845267413,Artie's Steak and Seafood,40.849542144998146,-73.78731730033616,Italian Restaurant
634,"Throgs Neck, Bronx",40.81510925804005,-73.81635002158441,Tosca Marquee,40.81922225798978,-73.81760066505247,Italian Restaurant
673,"Parkchester, Bronx",40.837937822267286,-73.85600310535783,Lorraine's Bar and Grill,40.83491783495375,-73.85441064834593,Italian Restaurant
736,"Morris Park, Bronx",40.847549063536334,-73.85040178030421,Patricia's,40.84931298339339,-73.85353576737785,Italian Restaurant
760,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Tino's Delicatessen,40.85588217093613,-73.88716612015719,Italian Restaurant
763,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Michaelangelo's Coal Fired Brick Oven Pizza Restaurant,40.85741189614754,-73.88646821282298,Italian Restaurant
769,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Arthur Avenue Fiasco,40.854844,-73.887908,Italian Restaurant
775,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Calabria Pork Store,40.85414529023418,-73.88877606219484,Italian Restaurant
783,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Antonio's Trattoria,40.854082862115455,-73.88661644989108,Italian Restaurant
785,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Dominick's Restaurant,40.85421506482662,-73.88876521498301,Italian Restaurant
787,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Enzo's,40.854354554251444,-73.88864359312625,Italian Restaurant
789,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Cafe al Mercato,40.85417649340613,-73.88808455700543,Italian Restaurant
792,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Emilia's Restaurant,40.85412010500031,-73.88890998498077,Italian Restaurant
795,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Roberto's,40.853607,-73.88843,Italian Restaurant
796,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Mario's Restaurant & Catering,40.854243777661196,-73.88843667516853,Italian Restaurant
797,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Gerbasi Ristorante,40.85533418683699,-73.88780782046945,Italian Restaurant
802,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Tra Di Noi,40.855139534007634,-73.88679442998631,Italian Restaurant
805,"Belmont, Bronx",40.85727710073895,-73.88845196134804,David Greco's Arthur Avenue Trattoria,40.854031511759736,-73.88887832314941,Italian Restaurant
807,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Ann & Tony's - An Original Arthur Avenue Restaurant,40.855704465427415,-73.88744918407676,Italian Restaurant
808,"Belmont, Bronx",40.85727710073895,-73.88845196134804,San Gennaro Ristorante,40.854217,-73.8891,Italian Restaurant
815,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Pasquale Riggaletto's,40.853744601208376,-73.88926386660914,Italian Restaurant
846,"Belmont, Bronx",40.85727710073895,-73.88845196134804,Arthur Avenue Cafe,40.85406831774407,-73.8888375888388,Italian Restaurant
870,"North Riverdale, Bronx",40.90854282950666,-73.90453054908927,Madison's,40.90648305752465,-73.90396530525271,Italian Restaurant
877,"North Riverdale, Bronx",40.90854282950666,-73.90453054908927,Beccofino,40.9054667242996,-73.90042336967397,Italian Restaurant
893,"Pelham Bay, Bronx",40.85064140940335,-73.8320737824047,Giovanni's Italian Restaurant,40.85178560311938,-73.82978599125016,Italian Restaurant
896,"Pelham Bay, Bronx",40.85064140940335,-73.8320737824047,Lucca Italian Restaurant,40.847676,-73.831834,Italian Restaurant
911,"Pelham Bay, Bronx",40.85064140940335,-73.8320737824047,Villa Barone Ristorante,40.853225226780154,-73.82730476570323,Italian Restaurant
951,"Schuylerville, Bronx",40.82657951686922,-73.82620275994073,Louis Seafood,40.83060356145349,-73.82793250584578,Italian Restaurant
957,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Patricia's of Tremont,40.823118889430276,-73.81940281496017,Italian Restaurant
962,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Tosca Marquee,40.81922225798978,-73.81760066505247,Italian Restaurant
963,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Spoto's Italian Restaurant,40.82039946759965,-73.8177024901674,Italian Restaurant
964,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Rino's Italian Restaurant,40.82123091031154,-73.81874315720901,Italian Restaurant
993,"Pelham Gardens, Bronx",40.86296562477998,-73.84161194831223,Fratelli's,40.86301897888721,-73.84360740712835,Italian Restaurant
1020,"Concourse, Bronx",40.83428380733851,-73.91558941773444,Tiny's Pizza & Pasta,40.8309295822695,-73.91662582679406,Italian Restaurant
1093,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Tuscany Grill,40.62291326029698,-74.03138652017468,Italian Restaurant
1103,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Sofia Restorante Italiano,40.62484745920055,-74.03052232818622,Italian Restaurant
1106,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Zio Toto,40.62479085034183,-74.03055087900958,Italian Restaurant
1120,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Giacomo's Wood Fired Pizza & Trattoria,40.62853486510589,-74.02905124266296,Italian Restaurant
1143,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Zitelli's Thin Crust Pizza and Bar,40.62355539009036,-74.03096914529038,Italian Restaurant
1145,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Baci,40.624347,-74.030761,Italian Restaurant
1150,"Bensonhurst, Brooklyn",40.61100890202044,-73.99517998380729,Villa Fiorita,40.611931,-73.997854,Italian Restaurant
1151,"Bensonhurst, Brooklyn",40.61100890202044,-73.99517998380729,il Colosseo,40.61222053559676,-73.9974361996248,Italian Restaurant
1196,"Sunset Park, Brooklyn",40.64510294925429,-74.01031618527784,Cafe Lore,40.648474,-74.01008900000001,Italian Restaurant
1246,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Adelina's,40.730301301138475,-73.95335193287592,Italian Restaurant
1284,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Naked Dog,40.7312918882724,-73.95947690314539,Italian Restaurant
1318,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Joe's of Avenue U,40.596970812269824,-73.9736772701698,Italian Restaurant
1333,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Giovanni Italian Restaurant,40.59648,-73.976948,Italian Restaurant
1342,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Cafe On The Hill,40.596588,-73.978751,Italian Restaurant
1399,"Sheepshead Bay, Brooklyn",40.58689012678384,-73.94318640482979,Il Fornetto,40.58337792928743,-73.93948662464095,Italian Restaurant
1541,"Windsor Terrace, Brooklyn",40.65694583575104,-73.98007340430172,Giovanni's Brooklyn Eats,40.660159372085104,-73.9837526794552,Italian Restaurant
1627,"Prospect Heights, Brooklyn",40.676822262254724,-73.9648592426269,Cataldo's,40.68007786642605,-73.9680669171865,Italian Restaurant
1681,"Williamsburg, Brooklyn",40.70714439344251,-73.95811529220927,Dough Vale,40.709306,-73.954056,Italian Restaurant
1710,"Bushwick, Brooklyn",40.69811611017901,-73.92525797487045,Carmenta’s,40.701320324636875,-73.92678265951356,Italian Restaurant
1834,"Brooklyn Heights, Brooklyn",40.695863722724084,-73.99378225496424,River Deli,40.693713210456345,-73.99843526257156,Italian Restaurant
1848,"Brooklyn Heights, Brooklyn",40.695863722724084,-73.99378225496424,Noodle Pudding,40.699714724204235,-73.99176882165305,Italian Restaurant
1889,"Brooklyn Heights, Brooklyn",40.695863722724084,-73.99378225496424,Bevacco,40.69934693656375,-73.99213688652104,Italian Restaurant
1902,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Lillo,40.690199941477445,-73.99654010450837,Italian Restaurant
1911,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Popina,40.687419734537926,-74.00143152860893,Italian Restaurant
1922,"Cobble Hill, Brooklyn",40.687919722485574,-73.99856139218463,Table 87,40.69116378701994,-73.99744297710961,Italian Restaurant
2010,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Fragole,40.680805,-73.99689,Italian Restaurant
2015,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Vinny's of Carroll Gardens,40.681885,-73.99357,Italian Restaurant
2025,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Claudine's,40.681352187513205,-73.99410672670723,Italian Restaurant
2042,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Frankies 457 Spuntino,40.67735978455962,-73.99804694982672,Italian Restaurant
2050,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Gersi,40.68337949868895,-73.99549228030504,Italian Restaurant
2063,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,FRANKS Wine Bar,40.67718059828416,-73.9983236384829,Italian Restaurant
2064,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Enoteca on Court,40.6822145298343,-73.99594672669618,Italian Restaurant
2070,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Panzerotti Bites,40.683770029680794,-73.99247007991913,Italian Restaurant
2083,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Verde on Smith,40.6844234,-73.9921569,Italian Restaurant
2085,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Ciros on Smith,40.68148804379713,-73.99402221751436,Italian Restaurant
2091,"Carroll Gardens, Brooklyn",40.680540231076485,-73.99465372828006,Marco Polo Ristorante,40.68231096732147,-73.99591141723491,Italian Restaurant
2157,"Gowanus, Brooklyn",40.673931143187154,-73.99444087145339,Frankies 457 Spuntino,40.67735978455962,-73.99804694982672,Italian Restaurant
2167,"Gowanus, Brooklyn",40.673931143187154,-73.99444087145339,FRANKS Wine Bar,40.67718059828416,-73.9983236384829,Italian Restaurant
2169,"Gowanus, Brooklyn",40.673931143187154,-73.99444087145339,Bar Tano,40.67136258535797,-73.99103934276492,Italian Restaurant
2193,"Gowanus, Brooklyn",40.673931143187154,-73.99444087145339,Aperture Restaurant,40.67497422943018,-73.99956636391882,Italian Restaurant
2203,"Fort Greene, Brooklyn",40.68852726018977,-73.97290574369092,Evelina Restaurant,40.689629,-73.971018,Italian Restaurant
2220,"Fort Greene, Brooklyn",40.68852726018977,-73.97290574369092,Dino,40.68953531738243,-73.97046641110853,Italian Restaurant
2224,"Fort Greene, Brooklyn",40.68852726018977,-73.97290574369092,Roman’s,40.68952914963263,-73.96951802846388,Italian Restaurant
2300,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,Da Nonna Rosa Cucina Italiana,40.67287215700924,-73.97673164354593,Italian Restaurant
2308,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,al di là,40.675158402943005,-73.98136997852275,Italian Restaurant
2317,"Park Slope, Brooklyn",40.67232052268197,-73.97705030183924,Scottadito Osteria Toscana,40.674841377650885,-73.97649751739819,Italian Restaurant
2459,"Bath Beach, Brooklyn",40.59951870282238,-73.99875221443519,Pino's Ristorante,40.60095549134201,-74.00080555696856,Italian Restaurant
2460,"Bath Beach, Brooklyn",40.59951870282238,-73.99875221443519,Casa Edesia Pizza and Grill,40.599751,-74.002672,Italian Restaurant
2548,"Clinton Hill, Brooklyn",40.693229421881504,-73.96784306216367,LaRina Pastificio & Vino,40.69319038108039,-73.97039283330098,Italian Restaurant
2555,"Clinton Hill, Brooklyn",40.693229421881504,-73.96784306216367,Da Ciro Brooklyn,40.69314,-73.967176,Italian Restaurant
2583,"Clinton Hill, Brooklyn",40.693229421881504,-73.96784306216367,Roman’s,40.68952914963263,-73.96951802846388,Italian Restaurant
2589,"Clinton Hill, Brooklyn",40.693229421881504,-73.96784306216367,Evelina Restaurant,40.689629,-73.971018,Italian Restaurant
2603,"Clinton Hill, Brooklyn",40.693229421881504,-73.96784306216367,Dino,40.68953531738243,-73.97046641110853,Italian Restaurant
2741,"Downtown, Brooklyn",40.69084402109802,-73.98346337431099,Caffe e Vino,40.689807316555346,-73.97828826952299,Italian Restaurant
2744,"Boerum Hill, Brooklyn",40.685682912091444,-73.98374824115798,Rucola,40.685659406438404,-73.98576926297605,Italian Restaurant
2842,"Prospect Lefferts Gardens, Brooklyn",40.658420017469815,-73.95489867077713,Camillo,40.65962621054929,-73.95056843938069,Italian Restaurant
3019,"Georgetown, Brooklyn",40.62384524478419,-73.91607483951324,Landi's Pork Store,40.61963309828226,-73.91791811535433,Italian Restaurant
3178,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Fiore,40.71304094810243,-73.95783126354218,Italian Restaurant
3256,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Fiore,40.71304094810243,-73.95783126354218,Italian Restaurant
3293,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Dough Vale,40.709306,-73.954056,Italian Restaurant
3336,"Fort Hamilton, Brooklyn",40.61476812694226,-74.03197914537984,Campania Coal Fired Pizza,40.613465980586724,-74.0332371696127,Italian Restaurant
3349,"Fort Hamilton, Brooklyn",40.61476812694226,-74.03197914537984,Positano,40.612384661710394,-74.03405892854195,Italian Restaurant
3444,"Chinatown, Manhattan",40.71561842231432,-73.99427936255978,Bacaro,40.714467897557796,-73.9915893664933,Italian Restaurant
3508,"Washington Heights, Manhattan",40.85190252555305,-73.93690027985234,Saggio Restaurant,40.85142251681508,-73.93976122140884,Italian Restaurant
3652,"Hamilton Heights, Manhattan",40.823604284811935,-73.94968791883366,Fumo,40.821411987945496,-73.95049884872275,Italian Restaurant
3718,"Manhattanville, Manhattan",40.8169344294978,-73.9573853935188,Pisticci Ristorante,40.81401515598367,-73.9602659078139,Italian Restaurant
3727,"Manhattanville, Manhattan",40.8169344294978,-73.9573853935188,Bettolona,40.81408384945623,-73.95957422392542,Italian Restaurant
3841,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Sant Ambroeus,40.77532770471081,-73.96281878358091,Italian Restaurant
3866,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Antonucci,40.77571064654,-73.95660701282836,Italian Restaurant
3887,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Sistina,40.777597,-73.961685,Italian Restaurant
3906,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Tiramisu,40.77494597871838,-73.95693214362441,Italian Restaurant
3913,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Caffe Buon Gusto - Manhattan,40.77249848070456,-73.9569944284568,Italian Restaurant
3935,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Caffe Grazie,40.779538,-73.959986,Italian Restaurant
3940,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Mezzaluna Restaurants,40.771352488755774,-73.95968198776245,Italian Restaurant
3958,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Nica Trattoria,40.775688458031425,-73.95057000240742,Italian Restaurant
3960,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Felice 83,40.77486666568879,-73.950868085548,Italian Restaurant
3970,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,83 1/2,40.77520589574406,-73.95123198330161,Italian Restaurant
3981,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Luna Rossa,40.77654404044222,-73.95032631591812,Italian Restaurant
3983,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Italianissimo Ristorante,40.77635051699617,-73.95217891729662,Italian Restaurant
3990,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Elio's,40.7767829340134,-73.95273640751839,Italian Restaurant
4038,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Pinocchio Ristorante,40.77985218985338,-73.94722321673736,Italian Restaurant
4082,"Lenox Hill, Manhattan",40.76811265828733,-73.9588596881376,Campagnola Restaurant,40.76891229915657,-73.95526786844196,Italian Restaurant
4099,"Lenox Hill, Manhattan",40.76811265828733,-73.9588596881376,Delizia 73 Ristorante & Pizza,40.76873386522408,-73.95533009269842,Italian Restaurant
