,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
8,"Wakefield, Bronx",40.89470517661,-73.84720052054902,Louis Pizza,40.898399,-73.84881,Pizza Place
12,"Co-op City, Bronx",40.87429419303012,-73.82993910812398,Capri II Pizza,40.87637420537464,-73.82994042507629,Pizza Place
30,"Eastchester, Bronx",40.887555677350775,-73.82780644716412,Mario's Pizza,40.88862762439113,-73.83126012557018,Pizza Place
64,"Kingsbridge, Bronx",40.88168737120521,-73.90281798724604,Kingsbridge Social Club,40.88454548045115,-73.90196378126393,Pizza Place
66,"Kingsbridge, Bronx",40.88168737120521,-73.90281798724604,Sam's Pizza,40.87943501792795,-73.90585879861192,Pizza Place
84,"Kingsbridge, Bronx",40.88168737120521,-73.90281798724604,Broadway Pizza & Pasta,40.87882247136464,-73.90449402840686,Pizza Place
98,"Kingsbridge, Bronx",40.88168737120521,-73.90281798724604,Little Caesars Pizza,40.88000167064909,-73.90413957385358,Pizza Place
117,"Kingsbridge, Bronx",40.88168737120521,-73.90281798724604,Domino's Pizza,40.8842,-73.9024,Pizza Place
119,"Kingsbridge, Bronx",40.88168737120521,-73.90281798724604,Tony & Cyndi's Pizzeria & Restaurants,40.88356615627457,-73.90180851709593,Pizza Place
129,"Marble Hill, Manhattan",40.87655077879964,-73.91065965862981,Arturo's,40.87441177110231,-73.91027100981574,Pizza Place
153,"Woodlawn, Bronx",40.89827261213805,-73.86731496814176,Katonah Pizza and Pasta,40.89878411126604,-73.86745706580207,Pizza Place
176,"Woodlawn, Bronx",40.89827261213805,-73.86731496814176,Bella Napoli 2,40.89672979186445,-73.86231986737155,Pizza Place
179,"Norwood, Bronx",40.87722415599446,-73.8793907395681,Sal's Pizzeria,40.875269350530566,-73.87956260705728,Pizza Place
181,"Norwood, Bronx",40.87722415599446,-73.8793907395681,Marconi Pizzeria,40.880766406357665,-73.87780801932352,Pizza Place
195,"Norwood, Bronx",40.87722415599446,-73.8793907395681,Nicky's Pizza & Ristorante,40.87337458632297,-73.88050846237203,Pizza Place
196,"Norwood, Bronx",40.87722415599446,-73.8793907395681,M & R Pizza,40.88057929014473,-73.8832210222942,Pizza Place
208,"Norwood, Bronx",40.87722415599446,-73.8793907395681,Joseph's Pizza,40.87920220241614,-73.87439641829206,Pizza Place
220,"Baychester, Bronx",40.866858107252696,-73.83579759808117,Pizza Hut,40.8686218839239,-73.83380771265149,Pizza Place
240,"Pelham Parkway, Bronx",40.85741349808865,-73.85475564017999,Sorrento Pizzeria,40.85438866680259,-73.85451988387852,Pizza Place
241,"Pelham Parkway, Bronx",40.85741349808865,-73.85475564017999,Venezia Pizzeria,40.85981175200528,-73.85522374820728,Pizza Place
268,"City Island, Bronx",40.84724670491813,-73.78648845267413,Filomena's Pizza & Pasta,40.846745636130926,-73.78618942327299,Pizza Place
