Borough,F1,Neighborhood Latitude,Neighborhood Longitude,Neighborhood,Number of Records,Venue Category,Venue Latitude,Venue Longitude,Venue
Bronx,0,40.894705177,-73.847200521,"Wakefield, Bronx",1,Pizza Place,40.898399,-73.84881,Louis Pizza
Bronx,1,40.874294193,-73.829939108,"Co-op City, Bronx",1,Pizza Place,40.876374205,-73.829940425,Capri II Pizza
Bronx,2,40.887555677,-73.827806447,"Eastchester, Bronx",1,Pizza Place,40.888627624,-73.831260126,Mario's Pizza
Bronx,3,40.881687371,-73.902817987,"Kingsbridge, Bronx",1,Pizza Place,40.884545480,-73.901963781,Kingsbridge Social Club
Bronx,4,40.881687371,-73.902817987,"Kingsbridge, Bronx",1,Pizza Place,40.879435018,-73.905858799,Sam's Pizza
Bronx,5,40.881687371,-73.902817987,"Kingsbridge, Bronx",1,Coffee Shop,40.885008634,-73.900332227,Mon Amour Coffee & Wine
Bronx,6,40.881687371,-73.902817987,"Kingsbridge, Bronx",1,Pizza Place,40.878822471,-73.904494028,Broadway Pizza & Pasta
Bronx,7,40.881687371,-73.902817987,"Kingsbridge, Bronx",1,Pizza Place,40.880001671,-73.904139574,Little Caesars Pizza
Bronx,8,40.881687371,-73.902817987,"Kingsbridge, Bronx",1,Pizza Place,40.8842,-73.9024,Domino's Pizza
Bronx,9,40.881687371,-73.902817987,"Kingsbridge, Bronx",1,Pizza Place,40.884015199,-73.903083138,Papa John's
Manhattan,10,40.876550779,-73.910659659,"Marble Hill, Manhattan",1,Pizza Place,40.874411771,-73.910271010,Arturo's
Manhattan,11,40.876550779,-73.910659659,"Marble Hill, Manhattan",1,Coffee Shop,40.877531349,-73.905582164,Starbucks
Manhattan,12,40.876550779,-73.910659659,"Marble Hill, Manhattan",1,Coffee Shop,40.873754554,-73.908613053,Starbucks
Bronx,13,40.898272612,-73.867314968,"Woodlawn, Bronx",1,Pizza Place,40.898784111,-73.867457066,Katonah Pizza and Pasta
Bronx,14,40.898272612,-73.867314968,"Woodlawn, Bronx",1,Italian Restaurant,40.900638399,-73.867723618,Patrizia's Of Woodlawn
Bronx,15,40.898272612,-73.867314968,"Woodlawn, Bronx",1,Pizza Place,40.900013,-73.867388,Linda's Pizza
Bronx,16,40.898272612,-73.867314968,"Woodlawn, Bronx",1,Pizza Place,40.896781,-73.867338,Bella Napoli 2
Bronx,17,40.898272612,-73.867314968,"Woodlawn, Bronx",1,Pizza Place,40.896729792,-73.862319867,Bella Napoli 2
Bronx,18,40.877224156,-73.879390740,"Norwood, Bronx",1,Pizza Place,40.875269351,-73.879562607,Sal's Pizzeria
Bronx,19,40.877224156,-73.879390740,"Norwood, Bronx",1,Coffee Shop,40.874932786,-73.879404050,Nicky's Coffee Shop
Bronx,20,40.877224156,-73.879390740,"Norwood, Bronx",1,Pizza Place,40.880766406,-73.877808019,Marconi Pizzeria
Bronx,21,40.877224156,-73.879390740,"Norwood, Bronx",1,Pizza Place,40.873374586,-73.880508462,Nicky's Pizza & Ristorante
Bronx,22,40.877224156,-73.879390740,"Norwood, Bronx",1,Pizza Place,40.880579290,-73.883221022,M & R Pizza
