BoroName,hood,Geometry,Latitude (generated),Longitude (generated)
West Toronto,Humber Heights-Westmount,MULTIPOLYGON,43.69338847,-79.51893105
West Toronto,Edenbridge-Humber Valley,MULTIPOLYGON,43.66738136,-79.51652755
West Toronto,Lambton Baby Point,MULTIPOLYGON,43.65768294,-79.49775234
West Toronto,Kingsview Village-The Westway,MULTIPOLYGON,43.70050261,-79.54268935
West Toronto,Thistletown-Beaumond Heights,MULTIPOLYGON,43.73789774,-79.55700443
West Toronto,Princess-Rosethorn,MULTIPOLYGON,43.65754105,-79.53933851
West Toronto,Mimico,MULTIPOLYGON,43.6166441,-79.48290316
West Toronto,Elms-Old Rexdale,MULTIPOLYGON,43.72530846,-79.5460964
West Toronto,Mount Dennis,MULTIPOLYGON,43.68782215,-79.50220345
West Toronto,Kingsway South,MULTIPOLYGON,43.65311992,-79.50715192
West Toronto,New Toronto,MULTIPOLYGON,43.5924391,-79.51028987
West Toronto,Roncesvalles,MULTIPOLYGON,43.64531515,-79.44183689
West Toronto,High Park-Swansea,MULTIPOLYGON,43.64399705,-79.47043602
West Toronto,Humber Summit,MULTIPOLYGON,43.75445864,-79.57275238
West Toronto,Rockcliffe-Smythe,MULTIPOLYGON,43.67550624,-79.49851555
West Toronto,Pelmo Park-Humberlea,MULTIPOLYGON,43.71938101,-79.53468967
West Toronto,Runnymede-Bloor West Village,MULTIPOLYGON,43.65979833,-79.48841364
West Toronto,Weston,MULTIPOLYGON,43.70219385,-79.5202352
West Toronto,South Parkdale,MULTIPOLYGON,43.63536531,-79.447458
West Toronto,Eringate-Centennial-West Deane,MULTIPOLYGON,43.6520611,-79.58424913
West Toronto,Alderwood,MULTIPOLYGON,43.60147469,-79.54583303
West Toronto,Long Branch,MULTIPOLYGON,43.58847083,-79.53258421
West Toronto,High Park North,MULTIPOLYGON,43.65798354,-79.46735055
West Toronto,Islington-City Centre West,MULTIPOLYGON,43.6333603,-79.54669834
West Toronto,Stonegate-Queensway,MULTIPOLYGON,43.63892223,-79.49855017
West Toronto,Willowridge-Martingrove-Richview,MULTIPOLYGON,43.68617675,-79.55036167
West Toronto,Mount Olive-Silverstone-Jamestown,MULTIPOLYGON,43.74796613,-79.58095411
West Toronto,Rexdale-Kipling,MULTIPOLYGON,43.7280119,-79.56764118
West Toronto,Etobicoke West Mall,MULTIPOLYGON,43.64361124,-79.57041397
West Toronto,West Humber-Clairville,MULTIPOLYGON,43.72034299,-79.59652025
West Toronto,Junction Area,MULTIPOLYGON,43.66813379,-79.47288353
West Toronto,Humbermede,MULTIPOLYGON,43.74044795,-79.55240673
West Toronto,Markland Wood,MULTIPOLYGON,43.63290513,-79.57493414
Downtown Toronto,University,MULTIPOLYGON,43.66301283,-79.39977769
Downtown Toronto,Rosedale-Moore Park,MULTIPOLYGON,43.68084393,-79.37957314
Downtown Toronto,Victoria Village,MULTIPOLYGON,43.72760231,-79.32151524
Downtown Toronto,Kensington-Chinatown,MULTIPOLYGON,43.65374356,-79.39729069
Downtown Toronto,Forest Hill North,MULTIPOLYGON,43.70312553,-79.42989539
Downtown Toronto,Cabbagetown-South St.James Town,MULTIPOLYGON,43.66838179,-79.36705511
Downtown Toronto,Yonge-St.Clair,MULTIPOLYGON,43.68834285,-79.39843777
Downtown Toronto,Mount Pleasant West,MULTIPOLYGON,43.70401504,-79.39398653
