BoroName,Borough,F1,Geometry,Latitude (generated),Latitude,Longitude (generated),Longitude,Neighborhood,Number of Records,hood
West Toronto,West Toronto,28,MULTIPOLYGON,43.69338847,43.6515706,-79.51893105,-79.4844499,Runnymede / Swansea-Toronto,1,Humber Heights-Westmount
West Toronto,West Toronto,25,MULTIPOLYGON,43.69338847,43.6489597,-79.51893105,-79.456325,Parkdale / Roncesvalles-Toronto,1,Humber Heights-Westmount
West Toronto,West Toronto,22,MULTIPOLYGON,43.69338847,43.6616083,-79.51893105,-79.4647633,High Park / The Junction South-Toronto,1,Humber Heights-Westmount
West Toronto,West Toronto,14,MULTIPOLYGON,43.69338847,43.6368472,-79.51893105,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Humber Heights-Westmount
West Toronto,West Toronto,11,MULTIPOLYGON,43.69338847,43.6479267,-79.51893105,-79.4197497,Little Portugal / Trinity-Toronto,1,Humber Heights-Westmount
West Toronto,West Toronto,9,MULTIPOLYGON,43.69338847,43.6690051,-79.51893105,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Humber Heights-Westmount
West Toronto,West Toronto,28,MULTIPOLYGON,43.66738136,43.6515706,-79.51652755,-79.4844499,Runnymede / Swansea-Toronto,1,Edenbridge-Humber Valley
West Toronto,West Toronto,25,MULTIPOLYGON,43.66738136,43.6489597,-79.51652755,-79.456325,Parkdale / Roncesvalles-Toronto,1,Edenbridge-Humber Valley
West Toronto,West Toronto,22,MULTIPOLYGON,43.66738136,43.6616083,-79.51652755,-79.4647633,High Park / The Junction South-Toronto,1,Edenbridge-Humber Valley
West Toronto,West Toronto,14,MULTIPOLYGON,43.66738136,43.6368472,-79.51652755,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Edenbridge-Humber Valley
West Toronto,West Toronto,11,MULTIPOLYGON,43.66738136,43.6479267,-79.51652755,-79.4197497,Little Portugal / Trinity-Toronto,1,Edenbridge-Humber Valley
West Toronto,West Toronto,9,MULTIPOLYGON,43.66738136,43.6690051,-79.51652755,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Edenbridge-Humber Valley
West Toronto,West Toronto,28,MULTIPOLYGON,43.65768294,43.6515706,-79.49775234,-79.4844499,Runnymede / Swansea-Toronto,1,Lambton Baby Point
West Toronto,West Toronto,25,MULTIPOLYGON,43.65768294,43.6489597,-79.49775234,-79.456325,Parkdale / Roncesvalles-Toronto,1,Lambton Baby Point
West Toronto,West Toronto,22,MULTIPOLYGON,43.65768294,43.6616083,-79.49775234,-79.4647633,High Park / The Junction South-Toronto,1,Lambton Baby Point
West Toronto,West Toronto,14,MULTIPOLYGON,43.65768294,43.6368472,-79.49775234,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Lambton Baby Point
West Toronto,West Toronto,11,MULTIPOLYGON,43.65768294,43.6479267,-79.49775234,-79.4197497,Little Portugal / Trinity-Toronto,1,Lambton Baby Point
West Toronto,West Toronto,9,MULTIPOLYGON,43.65768294,43.6690051,-79.49775234,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Lambton Baby Point
West Toronto,West Toronto,28,MULTIPOLYGON,43.70050261,43.6515706,-79.54268935,-79.4844499,Runnymede / Swansea-Toronto,1,Kingsview Village-The Westway
West Toronto,West Toronto,25,MULTIPOLYGON,43.70050261,43.6489597,-79.54268935,-79.456325,Parkdale / Roncesvalles-Toronto,1,Kingsview Village-The Westway
West Toronto,West Toronto,22,MULTIPOLYGON,43.70050261,43.6616083,-79.54268935,-79.4647633,High Park / The Junction South-Toronto,1,Kingsview Village-The Westway
West Toronto,West Toronto,14,MULTIPOLYGON,43.70050261,43.6368472,-79.54268935,-79.4281914,Brockton / Parkdale Village / Exhibition Place-Toronto,1,Kingsview Village-The Westway
West Toronto,West Toronto,11,MULTIPOLYGON,43.70050261,43.6479267,-79.54268935,-79.4197497,Little Portugal / Trinity-Toronto,1,Kingsview Village-The Westway
West Toronto,West Toronto,9,MULTIPOLYGON,43.70050261,43.6690051,-79.54268935,-79.4422593,Dufferin / Dovercourt Village-Toronto,1,Kingsview Village-The Westway
West Toronto,West Toronto,28,MULTIPOLYGON,43.73789774,43.6515706,-79.55700443,-79.4844499,Runnymede / Swansea-Toronto,1,Thistletown-Beaumond Heights
